userNo,registerDays,completedBuyOrderNum,completedSellOrderNum,counterpartyCount,completedBuyOrderNumOfLatest30day
saf0898f51a8f3ab298473d592548e639,94,2,0,2,2
sa903b744c7833c918011274a81274595,408,10,0,10,6
s6fb1ff72f7a2372c867570d9a6494f65,194,96,14,40,27
s2a010244250b360b831e0926f846c590,494,0,0,0,0
s73de8145d0343ac78a1a3a58f2a0ae82,33,12,0,6,12
sfcbf7068e95c321b970c7cf74b0fcd4b,828,2,0,2,1
s80fe68c54ef13923975d926cef0b6463,14,1,0,1,1
sdde4e932bdd0380eb6df0059e8432060,37,4,3,5,4
s17c03d4ab61536e19360c9d2427c2c4c,36,3,1,4,3
s20e75cbc64e13ff7adea1297b5dce007,188,113,1,58,33
s846f5154cd2c3fd08d10ad2da529f5e4,394,1,1,2,1
sf875b18ddab33339a732aed9705a115e,170,109,0,38,32
sd22c4ebbc1623e7a8084a0881e95595b,212,3,0,3,1
s464908a4401d35538028dd9484954d2f,510,17,17,25,3
sae9baba052553ccdaba7b0902d358c25,62,24,0,15,14
sf29dd5390ef1341cafb2737d5d2d5dd8,121,16,0,14,3
s0521e9fcb64f35b98bfd5f461455261a,28,25,7,12,25
s0f13f9dbd48c3e55bb4142333f86409f,57,53,4,19,23
sdc5e567d2f8b3377aac1e9d5d492e284,17,0,0,0,0
s248f1601dbb033a4a6f6ce9cda7623a0,13,0,0,0,0
s81b44c7745393305a6960ab2d36826a7,1512,30,2,16,9
s06ac9f8646a93fe89bc0d2049e22f7da,1058,7,49,43,1
s23c7c58a9640324d8ce1149d00204b77,35,115,0,85,109
s2455d48b45d7379f8155f185e9b4eca0,160,26,0,19,8
s3996ee6dc89d3f3c974da302d445d1a3,459,3,0,3,0
s4521e08f74f2329e906d5e67653f772c,13,1,1,2,1
sd2edb63dba323bb394777f6206a1a4a7,18,0,1,1,0
s39f5dc9d246634efbd1628b6129d5030,20,78,1,50,78
