registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount,userNo
1670,1666,319.75,113.98,0.943,49,45,4,0,427,413,14,0,0,0,262,s9cb31bfacb7a3c48b87c94c038ccb5a3
1386,1384,0.0,284.0,0.25,2,2,0,0,23,20,3,0,0,0,22,s474343c794703dbfa13a910a315c96b3
1723,1723,0.0,455.63,0.445,8,8,0,0,285,125,160,0,0,0,249,sdb0ee91e097f3d868eab5578124925cc
492,458,0.0,121.0,1.0,1,1,0,0,1,1,0,0,0,0,1,se228c81071ec35c39cb4db42eae71d45
995,640,0.0,105.5,0.839,26,26,0,0,62,40,22,0,0,0,52,s3b0049d2e317323280075e1ef702667f
522,446,0.0,501.5,0.667,2,2,0,0,8,8,0,0,0,0,7,s98a6826a237839729a0a003385390149
320,67,0.0,174.0,0.667,2,2,0,0,5,5,0,0,0,0,5,sbc9e60b2073731fabf12e21cf849e14d
520,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,s7f5f62e0a6ef3bed8963d669209dd871
520,520,57.0,103.8,0.667,18,15,3,0,173,138,35,0,0,0,134,s043afbf81c8f39efa94768b74ffa3441
1228,1228,0.0,158.17,0.706,12,12,0,0,16,15,1,0,0,0,13,s673dd46c81fc35778c0d1199a55b7079
1991,639,70.13,113.13,0.959,23,15,8,0,270,107,163,0,0,0,143,s6d44893554623f499b0d4573de46fcb1
290,250,0.0,73.56,1.0,16,16,0,0,55,55,0,0,0,0,27,s83a694daa93434fab5f778a6466bc5b7
49,49,0.0,154.0,1.0,2,2,0,0,3,3,0,0,0,0,3,s04bd2d9bebdb3d9d8cd9f89ac7d2ed6a
859,782,0.0,118.3,0.852,23,23,0,0,92,92,0,0,0,0,52,s6d9a1bbdd2763bb9aab66f1634576732
15,14,0.0,239.25,0.667,4,4,0,0,4,4,0,0,0,0,3,s856c1abd4b4f3c87a0f9ea733f349d20
27,14,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,sea9d00162d47379ab18d1c314a99a3c7
1033,1026,0.0,0.0,0.0,0,0,0,0,1,0,1,0,0,0,1,s35d276fb0a7533e09a55be9c21d0f490
25,25,0.0,175.0,0.546,6,6,0,0,6,6,0,0,0,0,4,s6aafb9655ff73bd5a0367ae9f8f2b9ea
1355,106,36.38,242.55,0.704,19,11,8,0,51,38,13,0,0,0,44,s58e40e4715dc3b8289b7b858a0359d2d
775,222,0.0,140.47,0.967,58,58,0,0,316,276,40,0,0,0,134,sf982d4ef5b643dae9087db769adabb22
18,18,0.0,225.88,0.889,8,8,0,0,8,8,0,0,0,0,7,sbe0c107e339f372cb542ea7f3c1ad3e5
1581,107,0.0,279.5,1.0,2,2,0,0,15,15,0,0,0,0,10,s467d3d38b0323195b74a0030de98037d
